Sensor;Type
EUI64-0080E10300045738-4-Motion;room
EUI64-0080E10300022BFC-4-Motion;desk
EUI64-0080E10300045095-4-Motion;big room
EUI64-0080E1030004F23D-4-Motion;desk
EUI64-0080E103000245C1-4-Motion;desk
EUI64-0080E10300047464-4-Motion;room
EUI64-0080E1030002278E-4-Motion;lounge
EUI64-0080E10300022A17-4-Motion;desk
EUI64-0080E10300045737-4-Motion;desk
EUI64-0080E103000241A0-4-Motion;desk
EUI64-0080E103000229AD-4-Motion;desk
EUI64-0080E10300022B14-4-Motion;focus
EUI64-0080E103000239D3-4-Motion;desk
EUI64-0080E1030002307F-4-Motion;desk
EUI64-0080E10300023ED3-4-Motion;desk
EUI64-0080E103000243D3-4-Motion;desk
EUI64-0080E10300022ECC-4-Motion;desk
EUI64-0080E10300045410-4-Motion;desk
EUI64-0080E1030004744C-4-Motion;big room
EUI64-0080E1030004F8A9-4-Motion;focus
EUI64-0080E1030002302B-4-Motion;desk
EUI64-0080E10300023084-4-Motion;desk
EUI64-0080E10300023FDE-4-Motion;desk
EUI64-0080E103000243CA-4-Motion;desk
EUI64-0080E10300024689-4-Motion;desk
EUI64-0080E10300022CB8-4-Motion;room
EUI64-0080E10300024800-4-Motion;focus
EUI64-0080E10300022F8F-4-Motion;room
EUI64-0080E10300024178-4-Motion;room
EUI64-0080E10300022F50-4-Motion;room
EUI64-0080E10300024416-4-Motion;room
EUI64-0080E1030004F81D-4-Motion;focus
EUI64-0080E1030002461D-4-Motion;focus
EUI64-0080E1030004F1D8-4-Motion;desk
EUI64-0080E10300022EE0-4-Motion;desk
EUI64-0080E103000229E5-4-Motion;desk
EUI64-0080E1030002427D-4-Motion;desk
EUI64-0080E10300022B0D-4-Motion;desk
EUI64-0080E103000229F1-4-Motion;desk
EUI64-0080E10300023F01-4-Motion;desk
EUI64-0080E10300022F80-4-Motion;desk
EUI64-0080E10300022564-4-Motion;desk
EUI64-0080E103000241F6-4-Motion;desk
EUI64-0080E1030002237C-4-Motion;desk
EUI64-0080E10300024387-4-Motion;desk
EUI64-0080E10300023BC1-4-Motion;desk
EUI64-0080E10300022899-4-Motion;desk
EUI64-0080E10300022F10-4-Motion;desk
EUI64-0080E10300023DA8-4-Motion;desk
EUI64-0080E10300022F62-4-Motion;desk
EUI64-0080E103000239CE-4-Motion;desk
EUI64-0080E103000241A2-4-Motion;desk
EUI64-0080E103000240FA-4-Motion;desk
EUI64-0080E10300022CA5-4-Motion;room
EUI64-0080E1030001AECC-4-Motion;desk
EUI64-0080E103000221F2-4-Motion;desk
EUI64-0080E10300022F28-4-Motion;desk
EUI64-0080E10300023D40-4-Motion;desk
EUI64-0080E10300023CC2-4-Motion;desk
EUI64-0080E10300022618-4-Motion;desk
EUI64-0080E1030002449E-4-Motion;desk
EUI64-0080E10300024163-4-Motion;desk
EUI64-0080E1030002221E-4-Motion;desk
EUI64-0080E10300022345-4-Motion;desk
EUI64-0080E103000244FD-4-Motion;desk
EUI64-0080E10300022E93-4-Motion;desk
EUI64-0080E103000238F2-4-Motion;focus
EUI64-0080E10300023FF1-4-Motion;focus
EUI64-0080E10300022FC7-4-Motion;
EUI64-0080E1030002409D-4-Motion;desk
EUI64-0080E103000223A7-4-Motion;desk
EUI64-0080E10300022F70-4-Motion;desk
EUI64-0080E103000241F1-4-Motion;desk
EUI64-0080E10300022A16-4-Motion;desk
EUI64-0080E10300023DD1-4-Motion;desk
EUI64-0080E1030004F2AF-4-Motion;desk
EUI64-0080E1030002276A-4-Motion;desk
EUI64-0080E10300023A28-4-Motion;desk
EUI64-0080E1030002440C-4-Motion;desk
EUI64-0080E10300022EB8-4-Motion;desk
EUI64-0080E103000239C8-4-Motion;desk
