ID;time;location;sensorType;sensorId;value
14;1527747989844                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045738-4-Motion         ;887.0
15;1527747991490                           ;914345              ;SampleMotion                            ;EUI64-0080E10300022BFC-4-Motion         ;147.0
16;1527748013216                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045095-4-Motion         ;155.0
17;1527748031861                           ;914345              ;SampleMotion                            ;EUI64-0080E1030004F23D-4-Motion         ;55.0
18;1527748039955                           ;914345              ;SampleMotion                            ;EUI64-0080E103000245C1-4-Motion         ;159.0
19;1527748044387                           ;914345              ;SampleMotion                            ;EUI64-0080E10300047464-4-Motion         ;658.0
20;1527748053437                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045738-4-Motion         ;887.0
21;1527748056968                           ;914345              ;SampleMotion                            ;EUI64-0080E10300022BFC-4-Motion         ;147.0
22;1527748077256                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045095-4-Motion         ;155.0
23;1527748095232                           ;914345              ;SampleMotion                            ;EUI64-0080E1030004F23D-4-Motion         ;55.0
24;1527748095700                           ;914345              ;SampleMotion                            ;EUI64-0080E10300047464-4-Motion         ;658.0
25;1527748104766                           ;914345              ;SampleMotion                            ;EUI64-0080E103000245C1-4-Motion         ;159.0
26;1527748118670                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045738-4-Motion         ;887.0
27;1527748122234                           ;914345              ;SampleMotion                            ;EUI64-0080E10300022BFC-4-Motion         ;147.0
28;1527748140881                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045095-4-Motion         ;155.0
29;1527748157814                           ;914345              ;SampleMotion                            ;EUI64-0080E1030004F23D-4-Motion         ;55.0
30;1527748158126                           ;914345              ;SampleMotion                            ;EUI64-0080E10300047464-4-Motion         ;658.0
31;1527748168056                           ;914345              ;SampleMotion                            ;EUI64-0080E103000245C1-4-Motion         ;159.0
32;1527748140442                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045738-4-Motion         ;887.0
33;1527748143486                           ;914345              ;SampleMotion                            ;EUI64-0080E10300022BFC-4-Motion         ;147.0
34;1527748158750                           ;914345              ;SampleMotion                            ;EUI64-0080E10300045095-4-Motion         ;155.0
35;1527748173944                           ;914345              ;SampleMotion                            ;EUI64-0080E1030004F23D-4-Motion         ;55.0
36;1527748173963                           ;914345              ;SampleMotion                            ;EUI64-0080E10300047464-4-Motion         ;658.0
37;1527748183429                           ;914345              ;SampleMotion                            ;EUI64-0080E103000245C1-4-Motion         ;159.0
38;1527755101190                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;32.0
39;1527755112813                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;33.0
40;1527755145525                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;34.0
41;1527755160866                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;34.0
42;1527755178223                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;35.0
43;1527755265691                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;35.0
44;1527755310521                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;36.0
45;1527755328999                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;36.0
46;1527755343839                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;37.0
47;1527755382650                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;38.0
48;1527755383741                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;38.0
49;1527755393659                           ;914345              ;SampleMotion                            ;EUI64-0080E1030002278E-4-Motion         ;38.0
